timestamp, index, name, memory.total [MiB], memory.used [MiB]
2026/03/19 15:55:56.468, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:55:57.521, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:55:58.521, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:55:59.521, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:56:00.522, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:56:01.522, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:56:02.522, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:56:03.522, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:56:04.523, 1, NVIDIA RTX A6000, 49140 MiB, 1534 MiB
2026/03/19 15:56:05.531, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
2026/03/19 15:56:06.531, 1, NVIDIA RTX A6000, 49140 MiB, 1 MiB
